timestamp,building,energy_kwh,is_injected_anomaly,anomaly_type
2026-01-01 00:00:00,Building_A,52.5,False,normal
2026-01-01 01:00:00,Building_A,61.45,False,normal
2026-01-01 02:00:00,Building_A,62.4,False,normal
2026-01-01 03:00:00,Building_A,47.94,False,normal
2026-01-01 04:00:00,Building_A,51.19,False,normal
2026-01-01 05:00:00,Building_A,58.34,False,normal
2026-01-01 06:00:00,Building_A,56.12,False,normal
2026-01-01 07:00:00,Building_A,57.61,False,normal
2026-01-01 08:00:00,Building_A,128.88,False,normal
2026-01-01 09:00:00,Building_A,137.55,False,normal
2026-01-01 10:00:00,Building_A,137.04,False,normal
2026-01-01 11:00:00,Building_A,133.48,False,normal
2026-01-01 12:00:00,Building_A,138.79,False,normal
2026-01-01 13:00:00,Building_A,135.49,False,normal
2026-01-01 14:00:00,Building_A,128.85,False,normal
2026-01-01 15:00:00,Building_A,134.99,False,normal
2026-01-01 16:00:00,Building_A,128.36,False,normal
2026-01-01 17:00:00,Building_A,137.54,False,normal
2026-01-01 18:00:00,Building_A,132.9,False,normal
2026-01-01 19:00:00,Building_A,56.77,False,normal
2026-01-01 20:00:00,Building_A,54.29,False,normal
2026-01-01 21:00:00,Building_A,63.81,False,normal
2026-01-01 22:00:00,Building_A,56.93,False,normal
2026-01-01 23:00:00,Building_A,55.56,False,normal
2026-01-02 00:00:00,Building_A,55.94,False,normal
2026-01-02 01:00:00,Building_A,60.36,False,normal
2026-01-02 02:00:00,Building_A,59.53,False,normal
2026-01-02 03:00:00,Building_A,59.76,False,normal
2026-01-02 04:00:00,Building_A,59.85,False,normal
2026-01-02 05:00:00,Building_A,68.41,False,normal
2026-01-02 06:00:00,Building_A,55.67,False,normal
2026-01-02 07:00:00,Building_A,55.14,False,normal
2026-01-02 08:00:00,Building_A,129.08,False,normal
2026-01-02 09:00:00,Building_A,136.23,False,normal
2026-01-02 10:00:00,Building_A,138.79,False,normal
2026-01-02 11:00:00,Building_A,132.58,False,normal
2026-01-02 12:00:00,Building_A,128.95,False,normal
